id	fs	edu	age	exp	m	race	region
1	4	2	40	33	12	2	3
2	4	9	33	19	12	1	1
3	2	17	31	9	12	1	4
4	3	9	50	36	12	1	2
5	4	12	28	11	12	1	3
6	4	13	33	15	12	1	1
7	5	17	36	14	12	1	3
8	5	16	44	23	12	1	1
9	5	9	48	34	12	2	3
10	5	16	31	10	12	1	3
11	10	9	41	27	12	1	4
12	4	10	41	26	12	1	1
13	7	11	36	20	12	1	2
14	5	14	31	12	12	1	3
15	5	7	27	15	12	1	2
16	5	8	42	29	12	1	2
17	4	12	28	11	11	1	1
18	2	6	46	35	12	2	3
19	3	12	47	30	12	1	4
20	7	8	35	22	12	1	2
21	3	9	41	27	9	1	1
22	4	17	30	8	12	1	1
23	6	12	38	21	12	1	1
24	3	11	48	32	12	1	3
25	3	10	36	21	12	1	1
26	3	12	45	28	12	1	1
27	6	8	44	31	6	1	1
28	4	10	44	29	12	1	3
29	3	3	46	38	12	1	3
30	4	12	26	9	12	1	3
31	5	12	50	33	12	1	4
32	4	8	46	33	11	1	1
33	5	8	33	20	12	1	1
34	4	12	41	24	12	1	2
35	5	17	33	11	12	1	1
36	4	12	41	24	12	1	2
37	3	12	29	12	11	2	1
38	9	11	27	11	12	1	2
39	5	12	42	25	12	1	1
40	5	16	39	18	12	1	3
41	6	12	36	19	12	1	1
42	4	8	34	21	12	1	2
43	4	12	40	23	12	1	4
44	4	12	37	20	12	1	2
45	5	17	44	22	12	1	4
46	2	4	49	40	12	1	3
47	5	12	33	16	12	1	4
48	6	14	36	17	12	1	3
49	4	15	51	31	12	1	1
50	5	12	37	20	12	1	2
51	4	19	33	9	12	1	2
52	4	14	39	20	12	1	3
53	3	12	44	27	12	1	3
54	4	7	50	38	12	1	2
55	4	12	39	22	12	1	2
56	6	7	46	34	12	1	2
57	4	12	43	26	12	1	3
58	6	11	40	24	12	2	3
59	2	9	40	26	12	1	3
60	8	7	39	27	12	1	2
61	6	10	34	19	6	2	4
62	4	10	32	17	12	2	4
63	3	16	42	21	12	1	1
64	2	8	52	39	12	1	4
65	6	12	29	12	12	1	1
66	2	12	27	10	12	1	3
67	5	10	37	22	12	1	4
68	2	12	52	35	12	1	2
69	3	12	32	15	12	1	3
70	4	12	35	18	12	1	2
71	3	13	31	13	12	1	4
72	5	9	36	22	10	1	1
73	6	16	34	13	12	1	4
74	3	12	54	37	12	1	4
75	4	12	52	35	10	1	1
76	6	9	28	14	12	1	2
77	6	12	44	27	12	1	4
78	4	17	29	7	12	1	2
79	4	9	50	36	7	1	3
80	4	8	50	37	12	1	3
