id,E,I,W,S
1,1.92,1.92,0.47,0.03
2,12.403,12.403,3.035,0.874
3,5.926,6.396,2.2,0.37
4,7,7.005,11.6,1.2
5,6.99,6.99,0.3,0.275
6,6.5,6.5,2.2,1.4
7,26,26.007,11.991,31.599
8,15,15.363,17.341,1.766
9,5.699,14.999,9.852,3.984
10,8.82,9.185,8.722,1.017
11,7,10.6,0.616,1.004
12,6.176,12.089,23.418,0.687
13,6.2,6.254,7.6,-0.034
14,5.8,9.01,0.358,-1.389
15,6.217,6.217,0.108,1
16,5.5,5.912,5.56,1.831
17,4.8,4.8,0.97,0.613
18,1.82,2.34,2.6,0.05
19,4.558,7.832,31.867,0.013
20,7.468,9.563,1.704,1.389
21,6.6,7.6,4.82,0.602
22,12.85,13.858,32.807,2.221
23,5.8,5.802,10.305,1.588
24,7.479,19.362,12.652,5.082
25,5.7,8,7.631,1.846
26,12,17.2,14.392,0.914
27,3.578,4.091,6.649,2.483
28,9.6,9.6,6.995,0.837
29,3.686,10.425,9.138,1.274
30,6.48,6.512,2.933,-0.275
31,6.383,7.675,38.26,1.092
32,5.61,12.418,12.661,1.157
33,6,6.079,0.82,0.34
34,6.3,6.979,21.286,0.373
35,10.513,10.517,9.723,3.307
36,30,30.996,95.187,10.668
37,3.427,5.283,0.171,1.105
38,8.5,8.511,3.105,3.5
39,11.3,12.7,7.385,0.541
40,16.96,16.77,16.049,3.02
41,8.3,8.3,0.05,0.65
42,5.375,5.375,4.464,0.989
43,4.77,6.265,7.203,2.532
44,4.32,8.52,9.145,6.12
45,10.72,24.226,54.524,-2.749
46,0.75,0.75,4,0
47,7.31,7.356,6.8,-1.036
48,9,9,6.89,1.351
49,14,14.66,13.5,-1.15
50,3.9,5.593,9.837,-0.248
51,10,11.841,10.384,0.388
52,7.2,7.7,6.842,1.157
53,6.5,10.55,4.929,1.656
54,8,13.7,34.124,3.959
55,9.5,12.242,11.731,5.369
56,6,7.803,5.695,1.405
57,6.4,9.879,25.029,0.22
58,5.19,9.154,0.6,-0.298
59,4.548,7.067,45.105,-0.276
60,4.86,4.496,8.511,-0.578
61,2.736,4.636,20.205,-1.36
62,6,9.003,4.727,5.277
63,7.8,13.82,2.27,0.98
64,6.163,8.891,18.916,2.637
65,8.6,8.632,14.194,0.984
66,7.899,8.385,13.662,-0.076
67,5.048,5.403,0.159,0.902
68,4.133,8.573,21.7,10.733
69,6.5,6.516,1.18,0.716
70,6,6,5.9,0.2
71,10.116,16.778,2.531,0.006
72,6,9.504,44.461,1.464
73,8.95,8.953,4.863,0.948
74,4.952,8.703,8.534,0.835
75,8.681,12.667,26.085,-2.883
76,6.5,6.504,3.775,0.298
77,7.668,8.18,3.032,0.481
78,11.6,11.6,2.167,5.033
79,3.1,5.602,5.072,-0.111
80,4.586,10.39,4.1,0
81,27,30.61,51.892,4.115
82,1.5,3.941,1.26,2.575
83,1.789,2.936,17.128,-0.112
84,11.068,11.068,11.542,-5.577
85,8.338,8.338,2.272,2.75
86,2.943,6.683,6.1,0.095
87,7.212,7.212,0.857,1.348
88,7.5,10.411,3.678,0.178
89,5.25,8.85,1.65,-0.695
90,5.066,8.334,2.143,0.787
91,12.848,13.923,18.182,4.642
92,6.214,6.214,0.275,1.26
93,12.202,12.323,28.953,2.687
94,8.19,14.963,11.23,0.72
95,7.2,10.06,25.462,5.109
96,30,32.08,98.033,1.8
97,9.19,9.26,5.539,1.684
98,7.5,10.45,2.86,1.475
99,7.852,9.138,11.197,0.566
100,12,12.35,30.906,25.405
