id,train,age,educ,married
11,1,19,9,0
12,1,21,13,0
13,1,18,8,0
14,1,27,10,1
15,1,17,7,0
16,1,19,10,0
17,1,27,13,0
18,1,23,10,0
19,1,40,12,0
20,1,26,12,0
21,1,23,11,0
22,1,41,14,0
23,1,38,9,0
24,1,24,11,0
25,1,18,10,0
26,1,29,11,1
27,1,25,11,0
28,1,27,10,0
29,1,17,10,0
30,1,24,11,0
31,1,17,10,0
32,1,48,4,0
33,1,25,11,1
34,1,20,12,0
35,1,25,12,0
36,1,42,14,0
37,1,25,5,0
38,1,23,12,1
39,1,46,8,1
40,1,24,10,0
41,1,21,12,0
42,1,19,9,0
43,1,17,8,0
44,1,18,8,1
45,1,20,11,0
46,1,25,11,1
47,1,17,8,0
48,1,17,9,0
49,1,25,5,0
50,1,23,12,0
51,1,28,8,0
52,1,31,11,1
53,1,18,11,0
54,1,25,12,0
55,1,30,11,1
56,1,17,10,0
57,1,37,9,0
58,1,41,4,1
59,1,42,14,1
60,1,22,11,0
61,1,17,8,0
62,1,29,8,0
63,1,35,10,0
64,1,27,11,0
65,1,29,4,0
66,1,28,9,0
67,1,27,11,0
68,1,23,7,0
69,1,45,5,1
70,1,29,13,0
71,1,27,9,0
72,1,46,13,0
73,1,18,6,0
74,1,25,12,0
75,1,28,15,0
76,1,25,11,0
77,1,22,12,0
78,1,21,9,0
79,1,40,11,0
80,1,22,11,0
81,1,25,12,0
82,1,18,12,0
83,1,38,12,0
84,1,27,13,0
85,1,27,8,0
86,1,38,11,0
87,1,23,8,0
88,1,26,11,0
89,1,21,12,0
90,1,25,8,0
91,1,31,11,1
92,1,17,10,0
93,1,25,11,0
94,1,21,12,0
95,1,44,11,0
96,1,25,12,0
97,1,18,9,0
98,1,42,12,0
99,1,25,10,0
100,1,31,9,0
101,1,24,10,0
102,1,26,10,0
103,1,25,11,0
104,1,18,11,0
105,1,19,11,0
106,1,43,9,0
107,1,27,13,0
108,1,17,9,0
109,1,30,11,0
110,1,26,10,1
111,1,20,9,0
112,1,17,9,0
