id	train	age	educ	married
301	0	25	10	1
302	0	29	11	1
303	0	25	12	1
304	0	28	13	0
305	0	23	11	0
306	0	54	11	0
307	0	33	5	0
308	0	20	8	0
309	0	45	9	0
310	0	39	6	0
311	0	26	12	0
312	0	23	10	0
313	0	27	12	0
314	0	33	9	1
315	0	25	10	1
316	0	23	8	0
317	0	18	8	0
318	0	17	8	0
319	0	19	9	0
320	0	18	8	0
321	0	18	11	0
322	0	17	11	0
323	0	19	10	0
324	0	19	10	0
325	0	18	9	0
326	0	18	9	0
327	0	18	10	0
328	0	17	10	0
329	0	18	7	0
330	0	18	11	0
331	0	19	10	0
332	0	18	9	0
333	0	17	10	0
334	0	17	10	0
335	0	19	11	0
336	0	17	8	0
337	0	18	10	0
338	0	18	9	0
339	0	17	8	0
340	0	19	6	0
341	0	19	10	0
342	0	17	11	0
343	0	20	9	0
344	0	17	9	0
345	0	17	10	0
346	0	17	9	0
347	0	19	11	0
348	0	19	10	1
349	0	20	9	0
350	0	18	9	0
351	0	18	11	0
352	0	17	10	0
353	0	19	11	0
354	0	17	10	0
355	0	17	9	0
356	0	18	10	0
357	0	21	9	0
358	0	18	10	0
359	0	19	11	0
360	0	24	9	0
361	0	28	11	1
362	0	25	11	0
363	0	21	7	0
364	0	39	11	0
365	0	36	12	0
366	0	24	12	0
367	0	17	11	0
368	0	18	10	0
369	0	18	10	0
370	0	28	10	0
371	0	27	13	0
372	0	31	12	0
373	0	22	9	0
374	0	31	10	0
375	0	26	10	1
376	0	18	9	0
377	0	23	11	0
378	0	20	12	0
379	0	19	10	0
380	0	18	11	0
381	0	17	10	0
382	0	27	12	1
383	0	27	11	0
384	0	28	12	0
385	0	28	11	0
386	0	21	10	0
387	0	17	10	0
388	0	26	11	0
389	0	29	9	0
390	0	17	10	0
391	0	22	11	0
392	0	24	11	0
393	0	20	12	0
394	0	18	12	0
395	0	24	11	0
396	0	21	9	0
397	0	30	8	0
398	0	31	11	0
399	0	17	10	0
400	0	19	9	0
401	0	23	11	0
402	0	22	12	0
403	0	29	12	0
404	0	22	10	0
405	0	29	13	0
406	0	19	11	0
407	0	17	9	0
408	0	18	10	0
409	0	19	12	0
410	0	20	6	0
411	0	33	11	0
412	0	36	11	0
413	0	25	11	0
414	0	19	11	0
415	0	23	8	0
416	0	17	11	0
417	0	43	10	0
418	0	26	11	1
419	0	27	11	1
420	0	19	11	0
421	0	28	11	1
422	0	28	12	1
423	0	26	8	0
424	0	31	12	0
425	0	23	11	0
426	0	20	12	0
427	0	28	10	1
428	0	39	12	1
429	0	21	8	0
430	0	22	11	0
